id,category,pas1 parent,pas2 parent,pas1 child,pas2 child,gap1,gap2,gap1 percentage,gap2 percentage,diffrence vote in parent,diffrence vote in child,Path Parent
86802,kel,475,,426,,49,,10%,#DIV/0!,,,78203/79564/928153
67826,kel,463,104,417,58,46,46,10%,44%,,,67393/67558/67820
24956,kel,620,440,680,531,-60,-91,-10%,-21%,,,22328/24850/83501
82865,kel,1882,805,2056,869,-174,-64,-9%,-8%,,,81877/82850/83557
83726,kec,5834,,5578,,256,,4%,#DIV/0!,5834,5578,78203/79564
80192,kel,206,18,225,5,-19,13,-9%,72%,,,78203/80144/80191
75643,kec,2872,2666,2751,2614,121,52,4%,2%,206,137,75425/75502
6485,kel,324,1915,296,1745,28,170,9%,9%,,,1/6397/6477
83052,kec,537,22,515,22,22,0,4%,0%,515,493,81877/82965
52045,kel,1116,1441,1210,1347,-94,94,-8%,7%,,,51578/51913/52038
11005,kec,7542,236,7263,232,279,4,4%,2%,7306,7031,6728/10646
4037,kel,24,217,26,153,-2,64,-8%,29%,,,1/3205/4033
67824,kel,505,109,463,104,42,5,8%,5%,,,67393/67558/67820
62513,kel,603,1758,553,1903,50,-145,8%,-8%,,,61965/62333/62509
66193,kel,390,390,422,278,-32,112,-8%,29%,,,65702/66188/66189
84942,kel,1030,421,948,361,82,60,8%,14%,,,32676/32677/83531
55739,kec,4742,359,4576,347,166,12,4%,3%,4383,4229,55065/55620
87482,kel,686,2239,732,2412,-46,-173,-7%,-8%,,,69268/71327/83765
70845,kel,1022,2233,1088,2284,-66,-51,-6%,-2%,,,69268/70757/70842
62405,kec,18948,42739,18301,41037,647,1702,3%,4%,-23791,-22736,61965/62333
31670,kel,1288,2152,1206,2878,82,-726,6%,-34%,,,26141/31345/31665
13674,kel,232,2046,246,2079,-14,-33,-6%,-2%,,,12920/13634/13671
25648,kel,422,83,447,164,-25,-81,-6%,-98%,,,25405/25597/25646
65003,kel,697,83,737,47,-40,36,-6%,43%,,,928068/64949/64994
70842,kec,6793,14837,6590,14479,203,358,3%,2%,-8044,-7889,69268/70757
25647,kel,447,164,422,83,25,81,6%,49%,,,25405/25597/25646
46128,kel,2779,3586,2626,3277,153,309,6%,9%,,,42385/45916/46126
57092,kel,437,854,461,830,-24,24,-5%,3%,,,55065/57008/57091
2099,kel,19,217,18,217,1,0,5%,0%,,,1/1824/2093
45690,kel,584,825,554,835,30,-10,5%,-1%,,,42385/45561/45682
9058,kel,2493,1443,2367,1306,126,137,5%,9%,,,6728/8688/9051
928162,kec,6900,,6694,,206,,3%,#DIV/0!,6900,6694,78203/79564
1063,kec,377,3676,366,3583,11,93,3%,3%,-3299,-3217,1/671
83557,kec,5295,2697,5148,2401,147,296,3%,11%,2598,2747,81877/82850
58568,kec,27380,21425,26656,20877,724,548,3%,3%,5955,5779,58285/58567
13161,kel,366,3526,382,3650,-16,-124,-4%,-4%,,,12920/13099/13158
71564,kel,675,835,646,830,29,5,4%,1%,,,69268/71437/71557
73546,kec,3125,1526,3050,1481,75,45,2%,3%,1599,1569,72551/928084
66710,kec,4967,711,4852,704,115,7,2%,1%,4256,4148,65702/66544
25602,kel,150,140,156,210,-6,-70,-4%,-50%,,,25405/25597/930099
52867,kel,729,1839,758,1979,-29,-140,-4%,-8%,,,51578/52593/52865
16309,kel,126,572,121,577,5,-5,4%,-1%,,,15885/16183/16307
25604,kel,156,210,150,140,6,70,4%,33%,,,25405/25597/930099
15923,kec,1013,8560,990,8346,23,214,2%,3%,-7547,-7356,15885/15886
13158,kec,731,5956,715,5832,16,124,2%,2%,-5225,-5117,12920/13099
928153,kec,6472,,6338,,134,,2%,#DIV/0!,6472,6338,78203/79564
51044,kel,3415,1394,3300,1443,115,-49,3%,-4%,,,42385/50735/51042
76300,kel,218,8,225,10,-7,-2,-3%,-25%,,,76096/76284/76297
89137,kel,835,,809,,26,,3%,#DIV/0!,,,78203/79564/928162
13137,kel,744,2880,767,2984,-23,-104,-3%,-4%,,,12920/13099/13136
73971,kec,3823,7964,3745,7703,78,261,2%,3%,-4141,-3958,72551/73650
