,id,category,pas1 parent,pas2 parent,pas1 child,pas2 child,gap1,gap2,gap1 percentage,gap2 percentage,diffrence vote in parent,diffrence vote in child,Path Parent,gap diffrence vote,gap gap percentage
112,89120,kel,283,0,332,0,-49,0,-17.31,0.0,283,332,78203/79564/928157,49,17.31
113,55888,kel,2585,684,2143,516,442,168,17.1,24.56,1901,1627,55065/928072/55882,274,7.459999999999997
114,929746,kel,274,0,320,0,-46,0,-16.79,0.0,274,320,78203/79564/928157,46,16.79
115,7153,kel,958,38,1118,46,-160,-8,-16.7,-21.05,920,1072,6728/7132/7133,152,4.350000000000001
116,74469,kec,1845,825,1589,782,256,43,13.88,5.21,1020,807,72551/74437,213,8.670000000000002
117,10823,kec,4330,379,3759,313,571,66,13.19,17.41,3951,3446,6728/10646,505,4.220000000000001
118,77327,kel,217,289,252,397,-35,-108,-16.13,-37.37,-72,-145,77085/77311/77322,73,21.24
119,3232,kel,26,616,22,438,4,178,15.38,28.9,-590,-416,1/3205/3206,174,13.519999999999998
120,31892,kel,617,2571,711,2425,-94,146,-15.24,5.68,-1954,-1714,26141/31685/31889,240,20.92
121,10699,kec,7449,414,6596,389,853,25,11.45,6.04,7035,6207,6728/10646,828,5.409999999999999
122,928157,kec,3283,0,2931,0,352,0,10.72,0.0,3283,2931,78203/79564,352,10.72
123,66334,kec,1690,200,1534,195,156,5,9.23,2.5,1490,1339,65702/66188,151,6.73
124,83777,kec,6498,4301,5920,3598,578,703,8.9,16.35,2197,2322,74716/74717,125,7.450000000000001
125,50643,kel,1210,9479,1380,9309,-170,170,-14.05,1.79,-8269,-7929,42385/50532/50632,340,15.84
126,47747,kec,27610,7581,25277,11089,2333,-3508,8.45,-46.27,20029,14188,42385/47634,5841,54.72
127,77326,kel,252,397,217,289,35,108,13.89,27.2,-145,-72,77085/77311/77322,73,13.309999999999999
128,83619,kec,1391,33,1275,30,116,3,8.34,9.09,1358,1245,78203/80526,113,0.75
129,68131,kel,691,566,785,640,-94,-74,-13.6,-13.07,125,145,67393/68041/68130,20,0.5299999999999994
130,73551,kel,565,300,640,345,-75,-45,-13.27,-15.0,265,295,72551/928084/73546,30,1.7300000000000004
131,31890,kel,711,2425,617,2571,94,-146,13.22,-6.02,-1714,-1954,26141/31685/31889,240,19.240000000000002
132,59355,kec,2730,141,2516,129,214,12,7.84,8.51,2589,2387,58285/59320,202,0.6699999999999999
133,89131,kel,411,0,463,0,-52,0,-12.65,0.0,411,463,78203/79564/928153,52,12.65
134,927631,kel,511,0,447,0,64,0,12.52,0.0,511,447,78203/79564/928158,64,12.52
135,80725,kec,24868,0,23271,0,1597,0,6.42,0.0,24868,23271,78203/80724,1597,6.42
136,19454,kel,834,400,934,400,-100,0,-11.99,0.0,434,534,17404/19172/19440,100,11.99
137,77325,kel,169,378,149,291,20,87,11.83,23.02,-209,-142,77085/77311/83860,67,11.19
138,10735,kec,3464,200,3300,200,164,0,4.73,0.0,3264,3100,6728/10646,164,4.73
139,78980,kel,146,4,162,8,-16,-4,-10.96,-100.0,142,154,78203/78927/78979,12,89.03999999999999
140,22376,kel,1048,220,934,233,114,-13,10.88,-5.91,828,701,22328/22329/22368,127,16.79
141,83459,kec,4340,253,4144,235,196,18,4.52,7.11,4087,3909,6728/10646,178,2.5900000000000007
142,66846,kel,319,139,353,145,-34,-6,-10.66,-4.32,180,208,65702/66718/66845,28,6.34
143,86802,kel,475,0,426,0,49,0,10.32,0.0,475,426,78203/79564/928153,49,10.32
144,67826,kel,463,104,417,58,46,46,9.94,44.23,359,359,67393/67558/67820,0,34.29
145,24956,kel,620,440,680,531,-60,-91,-9.68,-20.68,180,149,22328/24850/83501,31,11.0
146,82865,kel,1882,805,2056,869,-174,-64,-9.25,-7.95,1077,1187,81877/82850/83557,110,1.2999999999999998
147,83726,kec,5834,0,5578,0,256,0,4.39,0.0,5834,5578,78203/79564,256,4.39
148,80192,kel,206,18,225,5,-19,13,-9.22,72.22,188,220,78203/80144/80191,32,81.44
149,75643,kec,2872,2666,2751,2614,121,52,4.21,1.95,206,137,75425/75502,69,2.26
150,6485,kel,324,1915,296,1745,28,170,8.64,8.88,-1591,-1449,1/6397/6477,142,0.2400000000000002
151,83052,kec,537,22,515,22,22,0,4.1,0.0,515,493,81877/82965,22,4.1
152,52045,kel,1116,1441,1210,1347,-94,94,-8.42,6.52,-325,-137,51578/51913/52038,188,14.94
153,11005,kec,7542,236,7263,232,279,4,3.7,1.69,7306,7031,6728/10646,275,2.0100000000000002
154,4037,kel,24,217,26,153,-2,64,-8.33,29.49,-193,-127,1/3205/4033,66,37.82
155,67824,kel,505,109,463,104,42,5,8.32,4.59,396,359,67393/67558/67820,37,3.7300000000000004
156,62513,kel,603,1758,553,1903,50,-145,8.29,-8.25,-1155,-1350,61965/62333/62509,195,16.54
157,66193,kel,390,390,422,278,-32,112,-8.21,28.72,0,144,65702/66188/66189,144,36.93
158,84942,kel,1030,421,948,361,82,60,7.96,14.25,609,587,32676/32677/83531,22,6.29
159,55739,kec,4742,359,4576,347,166,12,3.5,3.34,4383,4229,55065/55620,154,0.16000000000000014
160,87482,kel,686,2239,732,2412,-46,-173,-6.71,-7.73,-1553,-1680,69268/71327/83765,127,1.0200000000000005
161,70845,kel,1022,2233,1088,2284,-66,-51,-6.46,-2.28,-1211,-1196,69268/70757/70842,15,4.18
162,62405,kec,18948,42739,18301,41037,647,1702,3.41,3.98,-23791,-22736,61965/62333,1055,0.5699999999999998
163,31670,kel,1288,2152,1206,2878,82,-726,6.37,-33.74,-864,-1672,26141/31345/31665,808,40.11
164,13674,kel,232,2046,246,2079,-14,-33,-6.03,-1.61,-1814,-1833,12920/13634/13671,19,4.42
165,25648,kel,422,83,447,164,-25,-81,-5.92,-97.59,339,283,25405/25597/25646,56,91.67
166,65003,kel,697,83,737,47,-40,36,-5.74,43.37,614,690,928068/64949/64994,76,49.11
167,70842,kec,6793,14837,6590,14479,203,358,2.99,2.41,-8044,-7889,69268/70757,155,0.5800000000000001
168,25647,kel,447,164,422,83,25,81,5.59,49.39,283,339,25405/25597/25646,56,43.8
169,46128,kel,2779,3586,2626,3277,153,309,5.51,8.62,-807,-651,42385/45916/46126,156,3.1099999999999994
170,57092,kel,437,854,461,830,-24,24,-5.49,2.81,-417,-369,55065/57008/57091,48,8.3
171,2099,kel,19,217,18,217,1,0,5.26,0.0,-198,-199,1/1824/2093,1,5.26
172,45690,kel,584,825,554,835,30,-10,5.14,-1.21,-241,-281,42385/45561/45682,40,6.35
173,9058,kel,2493,1443,2367,1306,126,137,5.05,9.49,1050,1061,6728/8688/9051,11,4.44
174,928162,kec,6900,0,6694,0,206,0,2.99,0.0,6900,6694,78203/79564,206,2.99
175,1063,kec,377,3676,366,3583,11,93,2.92,2.53,-3299,-3217,1/671,82,0.3900000000000001
176,83557,kec,5295,2697,5148,2401,147,296,2.78,10.98,2598,2747,81877/82850,149,8.200000000000001
177,58568,kec,27380,21425,26656,20877,724,548,2.64,2.56,5955,5779,58285/58567,176,0.08000000000000007
178,13161,kel,366,3526,382,3650,-16,-124,-4.37,-3.52,-3160,-3268,12920/13099/13158,108,0.8500000000000001
179,71564,kel,675,835,646,830,29,5,4.3,0.6,-160,-184,69268/71437/71557,24,3.6999999999999997
180,73546,kec,3125,1526,3050,1481,75,45,2.4,2.95,1599,1569,72551/928084,30,0.5500000000000003
181,66710,kec,4967,711,4852,704,115,7,2.32,0.98,4256,4148,65702/66544,108,1.3399999999999999
182,25602,kel,150,140,156,210,-6,-70,-4.0,-50.0,10,-54,25405/25597/930099,64,46.0
183,52867,kel,729,1839,758,1979,-29,-140,-3.98,-7.61,-1110,-1221,51578/52593/52865,111,3.6300000000000003
184,16309,kel,126,572,121,577,5,-5,3.97,-0.87,-446,-456,15885/16183/16307,10,4.84
185,25604,kel,156,210,150,140,6,70,3.85,33.33,-54,10,25405/25597/930099,64,29.479999999999997
186,15923,kec,1013,8560,990,8346,23,214,2.27,2.5,-7547,-7356,15885/15886,191,0.22999999999999998
187,13158,kec,731,5956,715,5832,16,124,2.19,2.08,-5225,-5117,12920/13099,108,0.10999999999999988
188,928153,kec,6472,0,6338,0,134,0,2.07,0.0,6472,6338,78203/79564,134,2.07
189,51044,kel,3415,1394,3300,1443,115,-49,3.37,-3.52,2021,1857,42385/50735/51042,164,6.890000000000001
190,76300,kel,218,8,225,10,-7,-2,-3.21,-25.0,210,215,76096/76284/76297,5,21.79
191,89137,kel,835,0,809,0,26,0,3.11,0.0,835,809,78203/79564/928162,26,3.11
192,13137,kel,744,2880,767,2984,-23,-104,-3.09,-3.61,-2136,-2217,12920/13099/13136,81,0.52
193,73971,kec,3823,7964,3745,7703,78,261,2.04,3.28,-4141,-3958,72551/73650,183,1.2399999999999998
194,71748,kec,2397,6966,2356,6872,41,94,1.71,1.35,-4569,-4516,69268/71579,53,0.3599999999999999
195,71633,kec,2364,7057,2328,6852,36,205,1.52,2.9,-4693,-4524,69268/71579,169,1.38
196,47200,kel,2144,623,2084,696,60,-73,2.8,-11.72,1521,1388,42385/47001/47191,133,14.52
197,928121,kec,6335,0,6243,0,92,0,1.45,0.0,6335,6243,78203/80724,92,1.45
198,13136,kec,1609,7571,1586,7467,23,104,1.43,1.37,-5962,-5881,12920/13099,81,0.05999999999999983
199,68820,kel,428,350,439,354,-11,-4,-2.57,-1.14,78,85,67393/928074/68816,7,1.43
200,80213,kel,277,13,270,13,7,0,2.53,0.0,264,257,78203/80144/80204,7,2.53
201,82788,kel,161,7,165,7,-4,0,-2.48,0.0,154,158,81877/82724/82785,4,2.48
202,52511,kel,2680,5433,2615,5314,65,119,2.43,2.19,-2753,-2699,51578/52287/52502,54,0.2400000000000002
203,10953,kec,2244,65,2214,63,30,2,1.34,3.08,2179,2151,6728/10646,28,1.74
204,11594,kel,2251,1544,2304,1534,-53,10,-2.35,0.65,707,770,6728/11374/11593,63,3.0
205,20944,kec,6838,3542,6756,3449,82,93,1.2,2.63,3296,3307,20802/20923,11,1.43
206,82801,kel,263,11,269,5,-6,6,-2.28,54.55,252,264,81877/82724/82793,12,56.83
207,13868,kec,1182,5137,1168,5054,14,83,1.18,1.62,-3955,-3886,12920/13844,69,0.44000000000000017
208,83501,kec,5359,3403,5299,3312,60,91,1.12,2.67,1956,1987,22328/24850,31,1.5499999999999998
209,13672,kel,790,3539,807,3638,-17,-99,-2.15,-2.8,-2749,-2831,12920/13634/13671,82,0.6499999999999999
210,11328,kec,18397,397,18213,396,184,1,1.0,0.25,18000,17817,6728/11247,183,0.75
211,41967,kel,6103,2732,5978,2696,125,36,2.05,1.32,3371,3282,41863/41965/41966,89,0.7299999999999998
212,75536,kec,5981,641,5924,633,57,8,0.95,1.25,5340,5291,75425/75502,49,0.30000000000000004
213,13100,kec,848,13174,840,13059,8,115,0.94,0.87,-12326,-12219,12920/13099,107,0.06999999999999995
214,31357,kel,1340,2602,1366,2641,-26,-39,-1.94,-1.5,-1262,-1275,26141/31345/31355,13,0.43999999999999995
215,80206,kel,212,11,208,11,4,0,1.89,0.0,201,197,78203/80144/80204,4,1.89
216,54951,kel,2604,1053,2555,1045,49,8,1.88,0.76,1551,1510,54020/54925/54947,41,1.1199999999999999
217,80193,kel,169,7,166,10,3,-3,1.78,-42.86,162,156,78203/80144/80191,6,44.64
218,82787,kel,57,0,58,0,-1,0,-1.75,0.0,57,58,81877/82724/82785,1,1.75
219,82917,kec,1885,98,1870,98,15,0,0.8,0.0,1787,1772,81877/82850,15,0.8
220,62708,kec,10909,19542,10824,19750,85,-208,0.78,-1.06,-8633,-8926,61965/62643,293,1.84
221,77345,kel,191,79,194,245,-3,-166,-1.57,-210.13,112,-51,77085/77311/929217,163,208.56
222,77344,kel,194,245,191,79,3,166,1.55,67.76,-51,112,77085/77311/929217,163,66.21000000000001
223,56793,kel,260,8,264,4,-4,4,-1.54,50.0,252,260,55065/56671/56782,8,51.54
224,66194,kel,520,520,528,296,-8,224,-1.54,43.08,0,232,65702/66188/66189,232,44.62
225,72875,kel,65,194,64,194,1,0,1.54,0.0,-129,-130,72551/928077/72874,1,1.54
226,83621,kec,1011,20,1004,19,7,1,0.69,5.0,991,985,78203/80526,6,4.3100000000000005
227,83765,kec,7553,15285,7507,15112,46,173,0.61,1.13,-7732,-7605,69268/71327,127,0.5199999999999999
228,82802,kec,2273,185,2261,191,12,-6,0.53,-3.24,2088,2070,81877/82724,18,3.7700000000000005
229,64095,kel,2970,6140,3013,6140,-43,0,-1.45,0.0,-3170,-3127,61965/64085/64091,43,1.45
230,23315,kec,9082,29521,9038,29582,44,-61,0.48,-0.21,-20439,-20544,22328/23189,105,0.69
231,66189,kec,8570,4992,8530,5328,40,-336,0.47,-6.73,3578,3202,65702/66188,376,7.2
232,31355,kec,6378,17942,6352,17903,26,39,0.41,0.22,-11564,-11551,26141/31345,13,0.18999999999999997
233,56862,kel,318,18,314,18,4,0,1.26,0.0,300,296,55065/56671/56857,4,1.26
234,27826,kec,15271,30634,15232,30724,39,-90,0.26,-0.29,-15363,-15492,26141/27714,129,0.55
235,13260,kec,909,14262,907,14304,2,-42,0.22,-0.29,-13353,-13397,12920/13253,44,0.51
236,24680,kec,8329,2994,8316,2986,13,8,0.16,0.27,5335,5330,22328/24484,5,0.11000000000000001
237,50700,kec,5860,69608,5854,69606,6,2,0.1,0.0,-63748,-63752,42385/50532,4,0.1
238,13327,kel,995,9222,984,9152,11,70,1.11,0.76,-8227,-8168,12920/13317/13322,59,0.3500000000000001
239,13402,kel,1033,6900,1044,7010,-11,-110,-1.06,-1.59,-5867,-5966,12920/13317/13398,99,0.53
240,27813,kec,8809,32296,8801,32278,8,18,0.09,0.06,-23487,-23477,26141/27714,10,0.03
241,13398,kec,1409,11202,1408,11260,1,-58,0.07,-0.52,-9793,-9852,12920/13317,59,0.5900000000000001
242,14777,kel,2630,6842,2605,6761,25,81,0.95,1.18,-4212,-4156,14086/14741/14775,56,0.22999999999999998
243,13318,kec,1479,12575,1478,12620,1,-45,0.07,-0.36,-11096,-11142,12920/13317,46,0.43
244,5788,kel,106,1006,107,1006,-1,0,-0.94,0.0,-900,-899,1/5694/5766,1,0.94
245,80194,kel,231,16,233,16,-2,0,-0.87,0.0,215,217,78203/80144/80191,2,0.87
246,2864,kec,1889,22519,1888,22519,1,0,0.05,0.0,-20630,-20631,1/2452,1,0.05
247,17276,kec,3867,7493,3865,7513,2,-20,0.05,-0.27,-3626,-3648,15885/17215,22,0.32
248,52857,kec,6899,18522,6897,18576,2,-54,0.03,-0.29,-11623,-11679,51578/52593,56,0.31999999999999995
249,20818,kec,5076,4173,5075,4173,1,0,0.02,0.0,903,902,20802/20803,1,0.02
250,67532,kel,274,608,276,608,-2,0,-0.73,0.0,-334,-332,67393/67394/67527,2,0.73
251,67140,kec,22145,10296,22144,10296,1,0,0.0,0.0,11849,11848,65702/67130,1,0.0
252,928130,kec,916,0,916,0,0,0,0.0,0.0,916,916,78203/81007,0,0.0
253,74229,kec,2889,2062,2889,3738,0,-1676,0.0,-81.28,827,-849,72551/74179,1676,81.28
254,41987,kel,7950,2797,7995,2799,-45,-2,-0.57,-0.07,5153,5196,41863/41965/41984,43,0.49999999999999994
255,41313,kel,3561,1746,3541,1788,20,-42,0.56,-2.41,1815,1753,32676/41165/41309,62,2.97
256,80212,kel,370,20,368,20,2,0,0.54,0.0,350,348,78203/80144/80204,2,0.54
